open,high,low,close,volume,vwap,timestamp,pre_market,market,after_market,date,time,time_diff,otc
531.5609741210938,531.5999755859375,529.97998046875,530.41748046875,450123,,2025-04-16 13:30:00-04:00,0,1,0,2025-04-16,13:30:00,0.0,
531.68,532.96,531.57,532.25,2437579,532.25,2025-04-16 09:30:00-04:00,0,1,0,2025-04-16,09:30:00,0.0,
532.27,532.99,531.67,532.92,334645,532.3308760154191,2025-04-16 09:31:00-04:00,0,1,0,2025-04-16,09:31:00,1.0,
532.969,532.969,532.969,532.969,390111,532.4095953477929,2025-04-16 09:32:00-04:00,0,1,0,2025-04-16,09:32:00,1.0,
532.96,533.31,532.44,532.8101,300024,532.4443020021048,2025-04-16 09:33:00-04:00,0,1,0,2025-04-16,09:33:00,1.0,
532.85,533.18,532.52,532.88,217499,532.4700543384316,2025-04-16 09:34:00-04:00,0,1,0,2025-04-16,09:34:00,1.0,
532.83,533.13,532.43,532.885,224983,532.4939625889535,2025-04-16 09:35:00-04:00,0,1,0,2025-04-16,09:35:00,1.0,
532.89,533.485,532.82,533.45,168911,532.5336035138403,2025-04-16 09:36:00-04:00,0,1,0,2025-04-16,09:36:00,1.0,
533.44,533.86,533.25,533.3745,154327,532.564297084263,2025-04-16 09:37:00-04:00,0,1,0,2025-04-16,09:37:00,1.0,
533.25,533.25,533.25,533.25,182141,532.5926164458311,2025-04-16 09:38:00-04:00,0,1,0,2025-04-16,09:38:00,1.0,
533.24,533.32,532.82,533.17,81568,532.6031010519083,2025-04-16 09:39:00-04:00,0,1,0,2025-04-16,09:39:00,1.0,
533.14,533.14,532.5,532.78,192622,532.6103763058682,2025-04-16 09:40:00-04:00,0,1,0,2025-04-16,09:40:00,1.0,
532.78,533.29,532.62,533.01,199741,532.6267196144361,2025-04-16 09:41:00-04:00,0,1,0,2025-04-16,09:41:00,1.0,
533.0375,533.42,532.9,533.27,130960,532.643518157301,2025-04-16 09:42:00-04:00,0,1,0,2025-04-16,09:42:00,1.0,
533.27,533.28,532.52,532.6999,107534,532.6447015116881,2025-04-16 09:43:00-04:00,0,1,0,2025-04-16,09:43:00,1.0,
532.68,532.84,532.3538,532.53,219044,532.639999204867,2025-04-16 09:44:00-04:00,0,1,0,2025-04-16,09:44:00,1.0,
532.59,532.75,531.91,532.05,291713,532.6094467963935,2025-04-16 09:45:00-04:00,0,1,0,2025-04-16,09:45:00,1.0,
532.03,532.39,531.78,531.8288,121940,532.5929069433395,2025-04-16 09:46:00-04:00,0,1,0,2025-04-16,09:46:00,1.0,
531.81,532.0209,531.59,531.9999,132667,532.5795449766451,2025-04-16 09:47:00-04:00,0,1,0,2025-04-16,09:47:00,1.0,
531.985,532.26,531.39,532.19,232665,532.5647373077575,2025-04-16 09:48:00-04:00,0,1,0,2025-04-16,09:48:00,1.0,
532.25,532.57,531.64,531.7697,138919,532.5470933821045,2025-04-16 09:49:00-04:00,0,1,0,2025-04-16,09:49:00,1.0,
531.72,531.85,531.395,531.67,199490,532.5200036592989,2025-04-16 09:50:00-04:00,0,1,0,2025-04-16,09:50:00,1.0,
531.64,531.88,530.89,531.26,253501,532.4724199401171,2025-04-16 09:51:00-04:00,0,1,0,2025-04-16,09:51:00,1.0,
531.26,531.44,530.86,530.89,484558,532.3658822139856,2025-04-16 09:52:00-04:00,0,1,0,2025-04-16,09:52:00,1.0,
530.86,530.93,530.47,530.64,270590,532.3033461582512,2025-04-16 09:53:00-04:00,0,1,0,2025-04-16,09:53:00,1.0,
530.64,530.755,530.19,530.535,154855,532.2674211628344,2025-04-16 09:54:00-04:00,0,1,0,2025-04-16,09:54:00,1.0,
530.5,530.52,530.15,530.335,102250,532.2418429121611,2025-04-16 09:55:00-04:00,0,1,0,2025-04-16,09:55:00,1.0,
530.31,530.74,530.07,530.642,181167,532.2051829861477,2025-04-16 09:56:00-04:00,0,1,0,2025-04-16,09:56:00,1.0,
530.625,531.1,530.61,531.08,129601,532.1870359237515,2025-04-16 09:57:00-04:00,0,1,0,2025-04-16,09:57:00,1.0,
531.0999,531.2899,530.46,530.46,176786,532.149858944677,2025-04-16 09:58:00-04:00,0,1,0,2025-04-16,09:58:00,1.0,
530.42,530.44,529.92,529.92,163797,532.1062535474694,2025-04-16 09:59:00-04:00,0,1,0,2025-04-16,09:59:00,1.0,
530.18,530.26,529.65,530.18,167069,532.0685842513716,2025-04-16 10:00:00-04:00,0,1,0,2025-04-16,10:00:00,1.0,
530.1901,530.355,529.78,530.07,119621,532.0409869828192,2025-04-16 10:01:00-04:00,0,1,0,2025-04-16,10:01:00,1.0,
530.04,530.48,529.89,530.2196,144647,532.011074207877,2025-04-16 10:02:00-04:00,0,1,0,2025-04-16,10:02:00,1.0,
530.235,530.53,529.99,530.45,99223,531.9936836569251,2025-04-16 10:03:00-04:00,0,1,0,2025-04-16,10:03:00,1.0,
530.47,530.6398,530.34,530.415,79536,531.9797108144293,2025-04-16 10:04:00-04:00,0,1,0,2025-04-16,10:04:00,1.0,
530.45,531.0804,530.4,531.0685,112352,531.9684587496056,2025-04-16 10:05:00-04:00,0,1,0,2025-04-16,10:05:00,1.0,
531.12,531.12,531.12,531.12,141726,531.9554452597913,2025-04-16 10:06:00-04:00,0,1,0,2025-04-16,10:06:00,1.0,
531.2401,531.31,530.94,531.2401,164810,531.9429102392376,2025-04-16 10:07:00-04:00,0,1,0,2025-04-16,10:07:00,1.0,
531.28,531.5602,531.0051,531.21,173035,531.929670253799,2025-04-16 10:08:00-04:00,0,1,0,2025-04-16,10:08:00,1.0,
531.23,531.33,530.84,531.24,137919,531.9198803459078,2025-04-16 10:09:00-04:00,0,1,0,2025-04-16,10:09:00,1.0,
531.19,531.47,530.9509,531.28,161846,531.9093966825727,2025-04-16 10:10:00-04:00,0,1,0,2025-04-16,10:10:00,1.0,
531.29,531.31,530.75,531.01,97957,531.9005653001296,2025-04-16 10:11:00-04:00,0,1,0,2025-04-16,10:11:00,1.0,
531.0298,531.4298,530.92,530.97,100461,531.8912873281765,2025-04-16 10:12:00-04:00,0,1,0,2025-04-16,10:12:00,1.0,
530.57,530.98,530.5137,530.57,140310,531.8731416649628,2025-04-16 10:13:00-04:00,0,1,0,2025-04-16,10:13:00,1.0,
530.15,530.65,530.15,530.15,89498,531.858178285866,2025-04-16 10:14:00-04:00,0,1,0,2025-04-16,10:14:00,1.0,
530.185,530.525,530.11,530.37,86180,531.845837354322,2025-04-16 10:15:00-04:00,0,1,0,2025-04-16,10:15:00,1.0,
530.22,530.53,530.02,530.22,143118,531.8237509918588,2025-04-16 10:16:00-04:00,0,1,0,2025-04-16,10:16:00,1.0,
530.2,530.25,529.97,530.1,98088,531.807850268075,2025-04-16 10:17:00-04:00,0,1,0,2025-04-16,10:17:00,1.0,
530.08,530.27,530.02,530.21,86484,531.7949598104491,2025-04-16 10:18:00-04:00,0,1,0,2025-04-16,10:18:00,1.0,
530.2,530.58,530.0,530.53,81768,531.7853845087842,2025-04-16 10:19:00-04:00,0,1,0,2025-04-16,10:19:00,1.0,
530.48,530.84,530.2,530.76,85610,531.7773217976799,2025-04-16 10:20:00-04:00,0,1,0,2025-04-16,10:20:00,1.0,
530.8,531.19,530.76,531.03,133961,531.7682387422497,2025-04-16 10:21:00-04:00,0,1,0,2025-04-16,10:21:00,1.0,
531.0,531.26,530.86,531.2,140991,531.7610615364712,2025-04-16 10:22:00-04:00,0,1,0,2025-04-16,10:22:00,1.0,
531.17,531.25,530.86,531.1103,81072,531.7563690965703,2025-04-16 10:23:00-04:00,0,1,0,2025-04-16,10:23:00,1.0,
531.1762,531.54,531.12,531.5378,96014,531.7545182592322,2025-04-16 10:24:00-04:00,0,1,0,2025-04-16,10:24:00,1.0,
531.5,532.11,531.49,531.92,168893,531.7569465617886,2025-04-16 10:25:00-04:00,0,1,0,2025-04-16,10:25:00,1.0,
531.92,532.21,531.41,531.535,151322,531.7540657445868,2025-04-16 10:26:00-04:00,0,1,0,2025-04-16,10:26:00,1.0,
531.52,531.6872,531.25,531.6447,101469,531.7531223199114,2025-04-16 10:27:00-04:00,0,1,0,2025-04-16,10:27:00,1.0,
531.65,531.88,531.62,531.71,108248,531.7527292486441,2025-04-16 10:28:00-04:00,0,1,0,2025-04-16,10:28:00,1.0,
531.68,532.0,531.58,531.77,111059,531.7528895295592,2025-04-16 10:29:00-04:00,0,1,0,2025-04-16,10:29:00,1.0,
531.76,531.9198,531.39,531.77,143868,531.7530927949306,2025-04-16 10:30:00-04:00,0,1,0,2025-04-16,10:30:00,1.0,
531.77,531.77,531.305,531.59,89863,531.7518930776082,2025-04-16 10:31:00-04:00,0,1,0,2025-04-16,10:31:00,1.0,
531.57,532.01,531.57,531.82,63951,531.7522478518781,2025-04-16 10:32:00-04:00,0,1,0,2025-04-16,10:32:00,1.0,
531.83,532.01,531.68,531.96,51407,531.7531141472497,2025-04-16 10:33:00-04:00,0,1,0,2025-04-16,10:33:00,1.0,
531.98,532.16,531.84,532.1,78712,531.7553144656148,2025-04-16 10:34:00-04:00,0,1,0,2025-04-16,10:34:00,1.0,
532.12,532.19,531.865,532.11,313691,531.7640597378579,2025-04-16 10:35:00-04:00,0,1,0,2025-04-16,10:35:00,1.0,
532.116,532.27,531.5,531.51,94820,531.7621802482192,2025-04-16 10:36:00-04:00,0,1,0,2025-04-16,10:36:00,1.0,
531.8,531.85,531.3393,531.8,67727,531.7623789822642,2025-04-16 10:37:00-04:00,0,1,0,2025-04-16,10:37:00,1.0,
531.73,531.95,531.67,531.67,39884,531.7620938529343,2025-04-16 10:38:00-04:00,0,1,0,2025-04-16,10:38:00,1.0,
531.65,532.13,531.445,532.1,74583,531.7640324843773,2025-04-16 10:39:00-04:00,0,1,0,2025-04-16,10:39:00,1.0,
532.1,532.37,532.0,532.155,68884,531.7660935268224,2025-04-16 10:40:00-04:00,0,1,0,2025-04-16,10:40:00,1.0,
532.19,532.48,532.14,532.37,93427,531.7703803942426,2025-04-16 10:41:00-04:00,0,1,0,2025-04-16,10:41:00,1.0,
532.38,532.58,532.26,532.46,92459,531.7751913772389,2025-04-16 10:42:00-04:00,0,1,0,2025-04-16,10:42:00,1.0,
532.4696,532.96,532.39,532.785,139738,531.7857267115792,2025-04-16 10:43:00-04:00,0,1,0,2025-04-16,10:43:00,1.0,
532.7812,532.82,532.64,532.74,105448,531.7931810155701,2025-04-16 10:44:00-04:00,0,1,0,2025-04-16,10:44:00,1.0,
532.72,532.75,532.31,532.56,98501,531.7987358999759,2025-04-16 10:45:00-04:00,0,1,0,2025-04-16,10:45:00,1.0,
532.56,532.56,532.15,532.48,74842,531.8024650297199,2025-04-16 10:46:00-04:00,0,1,0,2025-04-16,10:46:00,1.0,
532.25,532.25,532.25,532.25,73686,531.804864065322,2025-04-16 10:47:00-04:00,0,1,0,2025-04-16,10:47:00,1.0,
532.27,532.28,532.02,532.09,48994,531.8058768457679,2025-04-16 10:48:00-04:00,0,1,0,2025-04-16,10:48:00,1.0,
532.08,532.37,532.05,532.07,55164,531.8069288575559,2025-04-16 10:49:00-04:00,0,1,0,2025-04-16,10:49:00,1.0,
532.0601,532.275,531.98,532.2,54417,531.808467233877,2025-04-16 10:50:00-04:00,0,1,0,2025-04-16,10:50:00,1.0,
532.18,532.37,532.0,532.32,50669,531.8103245491618,2025-04-16 10:51:00-04:00,0,1,0,2025-04-16,10:51:00,1.0,
532.26,532.6,532.2,532.5867,38552,531.8124633354875,2025-04-16 10:52:00-04:00,0,1,0,2025-04-16,10:52:00,1.0,
