open,high,low,close,volume,vwap,timestamp,pre_market,market,after_market,date,time,time_diff,otc
560.98,560.98,560.81,560.92,2404.0,540.16059790781,2025-05-02 04:00:00-04:00,1,0,0,2025-05-02,04:00:00,481.0,
560.89,560.89,560.89,560.89,593.0,540.1606163328956,2025-05-02 04:01:00-04:00,1,0,0,2025-05-02,04:01:00,1.0,
561.0,561.0,561.0,561.0,740.0,540.1606394473769,2025-05-02 04:02:00-04:00,1,0,0,2025-05-02,04:02:00,1.0,
560.63,560.63,560.63,560.63,847.0,540.1606654342902,2025-05-02 04:03:00-04:00,1,0,0,2025-05-02,04:03:00,1.0,
560.71,560.72,560.66,560.66,1090.0,540.1606989256331,2025-05-02 04:04:00-04:00,1,0,0,2025-05-02,04:04:00,1.0,
561.03,561.03,560.7,560.7,3868.0,540.1608180048336,2025-05-02 04:05:00-04:00,1,0,0,2025-05-02,04:05:00,1.0,
560.5,560.5,560.43,560.43,4609.0,540.1609580292313,2025-05-02 04:06:00-04:00,1,0,0,2025-05-02,04:06:00,1.0,
560.53,560.75,560.52,560.75,1148.0,540.160993456532,2025-05-02 04:07:00-04:00,1,0,0,2025-05-02,04:07:00,1.0,
560.85,560.95,560.85,560.95,555.0,540.1610107501712,2025-05-02 04:08:00-04:00,1,0,0,2025-05-02,04:08:00,1.0,
561.12,561.21,560.89,561.21,2923.0,540.1611029686244,2025-05-02 04:10:00-04:00,1,0,0,2025-05-02,04:10:00,2.0,
561.09,561.09,561.0,561.0,702.0,540.1611248951165,2025-05-02 04:12:00-04:00,1,0,0,2025-05-02,04:12:00,2.0,
561.0,561.0,561.0,561.0,1116.0,540.1611597525216,2025-05-02 04:13:00-04:00,1,0,0,2025-05-02,04:13:00,1.0,
561.07,561.07,561.06,561.06,467.0,540.1611743808719,2025-05-02 04:14:00-04:00,1,0,0,2025-05-02,04:14:00,1.0,
561.35,561.35,561.28,561.31,618.0,540.1611939706995,2025-05-02 04:16:00-04:00,1,0,0,2025-05-02,04:16:00,2.0,
561.26,561.26,561.26,561.26,123.0,540.1611978604236,2025-05-02 04:17:00-04:00,1,0,0,2025-05-02,04:17:00,1.0,
561.27,561.27,561.24,561.24,699.0,540.1612199444597,2025-05-02 04:21:00-04:00,1,0,0,2025-05-02,04:21:00,4.0,
561.02,561.02,560.87,560.88,1733.0,540.1612737611471,2025-05-02 04:22:00-04:00,1,0,0,2025-05-02,04:22:00,1.0,
560.95,561.11,560.9,561.11,757.0,540.1612975299455,2025-05-02 04:23:00-04:00,1,0,0,2025-05-02,04:23:00,1.0,
561.4,561.43,561.39,561.43,2247.0,540.1613691601733,2025-05-02 04:28:00-04:00,1,0,0,2025-05-02,04:28:00,5.0,
561.4,561.4,561.4,561.4,150.0,540.1613739351355,2025-05-02 04:30:00-04:00,1,0,0,2025-05-02,04:30:00,2.0,
561.4,561.52,561.36,561.52,1613.0,540.1614255718732,2025-05-02 04:33:00-04:00,1,0,0,2025-05-02,04:33:00,3.0,
561.44,561.44,561.44,561.44,283.0,540.1614345975524,2025-05-02 04:35:00-04:00,1,0,0,2025-05-02,04:35:00,2.0,
561.41,561.6,561.41,561.6,843.0,540.161461685349,2025-05-02 04:37:00-04:00,1,0,0,2025-05-02,04:37:00,2.0,
561.61,561.61,561.58,561.58,687.0,540.1614837398128,2025-05-02 04:39:00-04:00,1,0,0,2025-05-02,04:39:00,2.0,
561.74,561.74,561.74,561.74,639.0,540.1615044065519,2025-05-02 04:40:00-04:00,1,0,0,2025-05-02,04:40:00,1.0,
561.65,561.65,561.63,561.63,448.0,540.1615188220235,2025-05-02 04:41:00-04:00,1,0,0,2025-05-02,04:41:00,1.0,
561.5,561.5,561.5,561.5,306.0,540.1615286086712,2025-05-02 04:42:00-04:00,1,0,0,2025-05-02,04:42:00,1.0,
561.45,561.45,561.17,561.22,958.0,540.1615588458145,2025-05-02 04:43:00-04:00,1,0,0,2025-05-02,04:43:00,1.0,
561.21,561.21,561.15,561.15,644.0,540.1615791046295,2025-05-02 04:44:00-04:00,1,0,0,2025-05-02,04:44:00,1.0,
561.05,561.05,561.0,561.0,466.0,540.1615936591668,2025-05-02 04:45:00-04:00,1,0,0,2025-05-02,04:45:00,1.0,
561.31,561.31,561.31,561.31,209.0,540.1616002839471,2025-05-02 04:46:00-04:00,1,0,0,2025-05-02,04:46:00,1.0,
561.07,561.09,561.01,561.07,1019.0,540.1616322171045,2025-05-02 04:47:00-04:00,1,0,0,2025-05-02,04:47:00,1.0,
561.1,561.17,561.1,561.17,528.0,540.1616488425302,2025-05-02 04:48:00-04:00,1,0,0,2025-05-02,04:48:00,1.0,
560.83,560.83,560.8,560.8,1612.0,540.1616987063478,2025-05-02 04:49:00-04:00,1,0,0,2025-05-02,04:49:00,1.0,
560.77,560.8,560.77,560.8,1211.0,540.1617361659183,2025-05-02 04:50:00-04:00,1,0,0,2025-05-02,04:50:00,1.0,
560.74,560.75,560.65,560.75,2280.0,540.1618065213756,2025-05-02 04:51:00-04:00,1,0,0,2025-05-02,04:51:00,1.0,
560.71,560.71,560.28,560.38,7181.0,540.162024124847,2025-05-02 04:53:00-04:00,1,0,0,2025-05-02,04:53:00,2.0,
560.44,560.44,560.42,560.42,1564.0,540.1620716113649,2025-05-02 04:54:00-04:00,1,0,0,2025-05-02,04:54:00,1.0,
560.0,560.0,560.0,560.0,2912.0,540.1621581925089,2025-05-02 04:55:00-04:00,1,0,0,2025-05-02,04:55:00,1.0,
559.84,559.84,559.84,559.84,744.0,540.1621801349805,2025-05-02 04:57:00-04:00,1,0,0,2025-05-02,04:57:00,2.0,
559.92,559.95,559.79,559.79,1321.0,540.1622189955507,2025-05-02 04:58:00-04:00,1,0,0,2025-05-02,04:58:00,1.0,
559.65,559.78,559.65,559.78,781.0,540.1622419588715,2025-05-02 05:00:00-04:00,1,0,0,2025-05-02,05:00:00,2.0,
559.65,559.81,559.65,559.81,1047.0,540.1622727902385,2025-05-02 05:01:00-04:00,1,0,0,2025-05-02,05:01:00,1.0,
559.75,559.75,559.58,559.58,2707.0,540.162351570603,2025-05-02 05:02:00-04:00,1,0,0,2025-05-02,05:02:00,1.0,
559.6,559.61,559.6,559.61,1236.0,540.1623875966072,2025-05-02 05:03:00-04:00,1,0,0,2025-05-02,05:03:00,1.0,
559.65,559.66,559.65,559.66,730.0,540.1624089287435,2025-05-02 05:04:00-04:00,1,0,0,2025-05-02,05:04:00,1.0,
559.45,559.57,559.4,559.57,2484.0,540.1624811810411,2025-05-02 05:05:00-04:00,1,0,0,2025-05-02,05:05:00,1.0,
559.89,559.92,559.88,559.88,1009.0,540.16251099854,2025-05-02 05:06:00-04:00,1,0,0,2025-05-02,05:06:00,1.0,
560.0,560.07,560.0,560.07,1060.0,540.1625426249168,2025-05-02 05:07:00-04:00,1,0,0,2025-05-02,05:07:00,1.0,
560.21,560.25,560.21,560.25,277.0,540.1625509642562,2025-05-02 05:08:00-04:00,1,0,0,2025-05-02,05:08:00,1.0,
560.28,560.28,560.25,560.25,459.0,540.1625647828575,2025-05-02 05:09:00-04:00,1,0,0,2025-05-02,05:09:00,1.0,
560.29,560.29,560.29,560.29,1931.0,540.1626230328759,2025-05-02 05:12:00-04:00,1,0,0,2025-05-02,05:12:00,3.0,
560.35,560.35,560.35,560.35,273.0,540.1626312926413,2025-05-02 05:13:00-04:00,1,0,0,2025-05-02,05:13:00,1.0,
560.45,560.45,560.45,560.45,298.0,540.1626403534502,2025-05-02 05:15:00-04:00,1,0,0,2025-05-02,05:15:00,2.0,
560.64,560.64,560.64,560.64,369.0,540.1626516781074,2025-05-02 05:19:00-04:00,1,0,0,2025-05-02,05:19:00,4.0,
560.69,560.69,560.68,560.68,683.0,540.1626726803773,2025-05-02 05:20:00-04:00,1,0,0,2025-05-02,05:20:00,1.0,
560.61,560.61,560.61,560.61,348.0,540.1626833448618,2025-05-02 05:21:00-04:00,1,0,0,2025-05-02,05:21:00,1.0,
560.49,560.49,560.49,560.49,458.0,540.1626972979168,2025-05-02 05:22:00-04:00,1,0,0,2025-05-02,05:22:00,1.0,
560.23,560.23,560.23,560.23,314.0,540.1627067416175,2025-05-02 05:24:00-04:00,1,0,0,2025-05-02,05:24:00,2.0,
560.37,560.37,560.37,560.37,220.0,540.1627134043788,2025-05-02 05:25:00-04:00,1,0,0,2025-05-02,05:25:00,1.0,
560.44,560.44,560.44,560.44,257.0,540.162721214652,2025-05-02 05:28:00-04:00,1,0,0,2025-05-02,05:28:00,3.0,
560.33,560.33,560.32,560.32,1418.0,540.1627640527786,2025-05-02 05:30:00-04:00,1,0,0,2025-05-02,05:30:00,2.0,
560.29,560.29,560.25,560.25,561.0,540.1627809418205,2025-05-02 05:32:00-04:00,1,0,0,2025-05-02,05:32:00,2.0,
560.39,560.39,560.26,560.26,805.0,540.1628051885571,2025-05-02 05:34:00-04:00,1,0,0,2025-05-02,05:34:00,2.0,
560.6,560.6,560.58,560.58,1086.0,540.1628384198041,2025-05-02 05:41:00-04:00,1,0,0,2025-05-02,05:41:00,7.0,
560.73,560.73,560.71,560.71,524.0,540.1628545560878,2025-05-02 05:42:00-04:00,1,0,0,2025-05-02,05:42:00,1.0,
560.78,560.78,560.7,560.75,6515.0,540.1630555702759,2025-05-02 05:43:00-04:00,1,0,0,2025-05-02,05:43:00,1.0,
560.72,560.72,560.72,560.72,356.0,540.1630665382013,2025-05-02 05:44:00-04:00,1,0,0,2025-05-02,05:44:00,1.0,
560.73,560.73,560.73,560.73,176.0,540.1630719631797,2025-05-02 05:45:00-04:00,1,0,0,2025-05-02,05:45:00,1.0,
560.95,561.03,560.95,561.03,740.0,540.1630951054292,2025-05-02 05:48:00-04:00,1,0,0,2025-05-02,05:48:00,3.0,
561.09,561.09,561.09,561.09,406.0,540.1631078388796,2025-05-02 05:49:00-04:00,1,0,0,2025-05-02,05:49:00,1.0,
561.0,561.14,561.0,561.09,739.0,540.1631310162286,2025-05-02 05:50:00-04:00,1,0,0,2025-05-02,05:50:00,1.0,
561.2,561.2,561.14,561.14,1096.0,540.1631654722471,2025-05-02 05:51:00-04:00,1,0,0,2025-05-02,05:51:00,1.0,
560.8,560.8,560.78,560.78,262.0,540.1631735676223,2025-05-02 05:53:00-04:00,1,0,0,2025-05-02,05:53:00,2.0,
560.69,560.69,560.69,560.69,524.0,540.163189687675,2025-05-02 05:54:00-04:00,1,0,0,2025-05-02,05:54:00,1.0,
