Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year,Daily_Return,Log_Return,Price_Range,Close_to_Open_Change,Average_Price,Lagged_Close,Lagged_Volume,Volume_MA5,Volume_Ratio,Lagged_Return,Rolling_Volatility,Day_of_Week,Week_of_Year,Close_to_High_Ratio,Next_Day_Volatility
1993-02-05,25.02643585205078,25.078610492465064,24.887303477612697,25.02643585205078,492100.0,5,4,5,2,1993,-0.0006945069065700249,-0.000694748188212641,0.19130701485236656,0.0,24.997449940709515,25.0438289642334,531500.0,446960.0,1.1009933774834437,0.004184017539406559,0.004367960570255378,4,5,-0.2727272727272761,0.004524208475141691
1993-02-08,25.02643585205078,25.113393586074583,24.991652758441266,25.02643585205078,596100.0,8,0,6,2,1993,0.0,0.0,0.1217408276333174,0.0,25.04382739885554,25.02643585205078,492100.0,470080.0,1.268082028590878,-0.0006945069065700249,0.004524208475141691,0,6,-0.7142857142857435,0.006479119915323503
1993-02-09,24.93947772165543,24.93947772165543,24.800345349428618,24.852519989013672,122100.0,9,1,6,2,1993,-0.006949286109506403,-0.0069735448508383355,0.13913237222681119,-0.08695773264175699,24.864114353365906,25.02643585205078,596100.0,454240.0,0.2688006340260655,0.0,0.006479119915323503,1,6,-0.625,0.004104602357111608
1993-02-10,24.85252121126293,24.904695853413944,24.78295502172826,24.88730430603028,379600.0,10,2,6,2,1993,0.0013996293748876898,0.001398650806676289,0.12174083168568473,0.034783094767352196,24.85831839372416,24.852519989013672,122100.0,424280.0,0.894692184406524,-0.006949286109506403,0.004104602357111608,2,6,-0.142857142857097,0.0043097682569815665
1993-02-11,24.922086912003945,25.11339392947222,24.922086912003945,25.0090446472168,19500.0,11,3,6,2,1993,0.0048916644281566946,0.004879739111670403,0.19130701746827583,0.08695773521285588,25.014841829564322,24.88730430603028,379600.0,321880.0,0.06058158319870759,0.0013996293748876898,0.0043097682569815665,3,6,-0.5454545454545285,0.005452049497124034
1993-02-12,24.97424614738566,24.97424614738566,24.81772232055664,24.81772232055664,42500.0,12,4,6,2,1993,-0.007650125359004889,-0.007679537669271582,0.15652382682901944,-0.15652382682901944,24.869896929499646,25.0090446472168,19500.0,231960.0,0.18322124504224865,0.0048916644281566946,0.005452049497124034,4,6,-1.0,0.011663811057299805
1993-02-16,24.74818009048122,24.74818009048122,24.15686728438399,24.191650390625,374800.0,16,1,7,2,1993,-0.02522680856224513,-0.02555045921189334,0.5913128060972319,-0.5565296998562204,24.36556592183007,24.81772232055664,42500.0,187700.0,1.9968034096963239,-0.007650125359004889,0.011663811057299805,1,7,-0.9411764705882388,0.011960486342370454
1993-02-17,24.19165073916209,24.226433845904232,24.08730141893565,24.174259185791016,210900.0,17,2,7,2,1993,-0.0007188928639909609,-0.000719151391375663,0.1391324269685832,-0.017391553371073343,24.162664816876966,24.191650390625,374800.0,205460.0,1.0264771731723936,-0.02522680856224513,0.011960486342370454,2,7,-0.37499999999998407,0.01169109981052431
1993-02-18,24.452518600452883,24.452518600452883,23.82642281836448,24.156862258911133,378100.0,18,3,7,2,1993,-0.0007196467426852093,-0.0007199058127023908,0.6260957820884023,-0.2956563415417506,24.145267892576168,24.174259185791016,210900.0,205160.0,1.842951842464418,-0.0007188928639909609,0.01169109981052431,3,7,-0.47222222222223026,0.011404121209143879
1993-02-19,24.15686054175006,24.24381828308105,24.122077445217663,24.24381828308105,34900.0,19,4,7,2,1993,0.0035996406833773698,0.0035931774823432508,0.12174083786338841,0.08695774133099121,24.203238003793256,24.156862258911133,378100.0,208240.0,0.16759508259700345,-0.0007196467426852093,0.011404121209143879,4,7,0.0,0.012117769182295226
1993-02-22,24.313380854226928,24.36555549125317,24.24381467152528,24.330772399902344,513600.0,22,0,8,2,1993,0.0035866510714599453,0.0035802343768916393,0.12174081972788997,0.017391545675415898,24.31338085422693,24.24381828308105,34900.0,302460.0,1.6980757786153542,0.0035996406833773698,0.012117769182295226,0,8,-0.28571428571427737,0.002361150369983273
1993-02-23,24.40034466717547,24.41773621718772,24.191646067028564,24.31338691711425,373700.0,23,1,8,2,1993,-0.0007145470970811862,-0.0007148025075339391,0.22609015015915546,-0.0869577500612202,24.307589733776847,24.330772399902344,513600.0,302240.0,1.2364346214928534,0.0035866510714599453,0.002361150369983273,1,8,-0.46153846153851835,0.005550608250347295
