open,high,low,close,volume,vwap,timestamp,transactions,otc
490.62,498.9,489.22,498.74,32445.0,498.3152,1744185600000,376,
498.71,499.44,498.71,499.44,6619.0,498.9509,1744185660000,117,
499.38,499.72,499.12,499.69,40199.0,499.466,1744185720000,293,
499.6,499.63,498.86,498.93,11848.0,499.528,1744185780000,284,
498.17,498.17,497.32,497.32,2221.0,497.8628,1744185840000,103,
497.18,497.18,496.79,496.84,6489.0,496.8939,1744185900000,230,
496.79,496.8,495.92,495.92,21401.0,496.3811,1744185960000,362,
495.83,496.02,495.5,495.68,42456.0,495.7746,1744186020000,434,
495.57,495.86,495.4,495.67,14158.0,495.6724,1744186080000,211,
495.84,496.32,495.67,495.67,10774.0,495.9979,1744186140000,171,
495.91,496.3,495.66,495.82,15752.0,496.0117,1744186200000,308,
495.83,496.03,495.71,495.78,6383.0,495.8219,1744186260000,99,
496.05,496.67,496.04,496.04,20095.0,496.3469,1744186320000,180,
496.1,496.23,495.35,495.35,9257.0,495.8077,1744186380000,195,
495.22,495.53,494.73,495.4,46428.0,495.2161,1744186440000,421,
495.43,496.06,495.4,495.64,13206.0,495.8304,1744186500000,134,
495.71,495.88,495.33,495.66,11273.0,495.6864,1744186560000,135,
495.88,496.31,495.66,495.76,6534.0,495.8663,1744186620000,113,
496.07,496.47,495.98,496.47,1951.0,496.0089,1744186680000,124,
496.48,496.68,496.48,496.68,2806.0,496.5663,1744186740000,104,
496.5,496.5,496.5,496.5,942.0,496.5013,1744186800000,35,
496.14,496.14,495.84,495.98,2544.0,496.0829,1744186860000,155,
496.5,496.5,496.21,496.26,1301.0,496.4205,1744186920000,61,
496.16,496.26,496.16,496.23,1650.0,496.2365,1744186980000,80,
496.4,496.48,496.4,496.48,1061.0,496.3978,1744187040000,51,
497.3,497.31,496.95,496.95,6410.0,497.1162,1744187100000,147,
497.03,497.21,496.81,496.81,5492.0,497.08,1744187160000,128,
496.78,496.78,496.33,496.33,3363.0,496.5604,1744187220000,81,
496.11,496.21,495.24,495.33,17547.0,495.7322,1744187280000,253,
495.54,495.54,494.82,494.82,5146.0,495.2728,1744187340000,98,
494.81,494.81,494.5,494.59,6488.0,494.678,1744187400000,135,
494.47,494.47,493.88,493.91,5018.0,494.114,1744187460000,166,
493.9,494.15,493.25,493.25,4385.0,493.5736,1744187520000,131,
493.04,493.04,492.15,492.43,17959.0,492.5917,1744187580000,394,
